FRA;2007;2;C11046P   ;C019920   ;700;6141002000;640159;0;   ;5.02;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;38;ST ;32.67;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;-30;ST ;-90;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;-104;ST ;-89.41;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;-49;ST ;-42.12;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;-12;ST ;-10.32;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;-26;ST ;-22.35;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;0;   ;2457;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;1;LE ;2650;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;0;   ;1647;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;91;ST ;273;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;2;LE ;60;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;1;ST ;11790;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;33;ST ;247.5;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;104;ST ;1092;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;12;ST ;126;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;3;ST ;10350;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;1;ST ;4100;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;0;   ;-2.8;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;82;ST ;615;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;0;   ;-1.87;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;60;ST ;450;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;0;   ;-2.05;EUR;20070727
FRA;2007;2;C11045M   ;C019980   ;700;6001101000;0;153;ST ;131.53;EUR;20070727
FRA;2007;2;C11412L   ;C019980   ;700;6020107000;0;0;   ;678.73;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;59.48;EUR;20070727
FRA;2007;2;C11314    ;C019980   ;700;6141003000;0;0;   ;1005.14;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;97.5;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;700;6141003000;0;0;   ;1127.44;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;118.95;EUR;20070727
FRA;2007;2;C11311    ;C019980   ;700;6141003000;0;0;   ;484.97;EUR;20070727
FRA;2007;2;C11045A   ;C019980   ;700;6141003000;0;0;   ;932.22;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;2344.43;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;1790.13;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;16.25;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11314    ;C019980   ;700;6141003000;0;0;   ;-65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;-130;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;-130;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;-65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11311    ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;202.5;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;141.02;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;700;6141003000;0;0;   ;320.22;EUR;20070727
FRA;2007;2;C11314    ;C019980   ;700;6141003000;0;0;   ;-65;EUR;20070727
FRA;2007;2;C11852    ;C019980   ;700;6141003000;0;0;   ;-65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;-65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;-97.5;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;3.59;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;700;6141003000;0;0;   ;442.22;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11314    ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11852    ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;97.5;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;151.65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;170.73;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;2;C11314    ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11852    ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11314    ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11314    ;C019980   ;700;6141003000;0;0;   ;65;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141003000;0;0;   ;130;EUR;20070727
FRA;2007;2;C11045A   ;C019980   ;700;6144007000;0;0;   ;22.76;EUR;20070727
FRA;2007;2;C11311    ;C019980   ;700;6141002000;640574;0;   ;148.4;EUR;20070727
FRA;2007;2;C11311    ;C019980   ;700;6141002000;640574;0;   ;252.09;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141002000;640628;0;   ;193.2;EUR;20070727
FRA;2007;2;C11045B   ;C019980   ;700;6141002000;640628;0;   ;156.8;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;10;ST ;108.2;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;1;LE ;23;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;13;ST ;31.33;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;27;ST ;114.75;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;4;ST ;356.92;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;10;ST ;194.4;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;1;LE ;3528;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;10;ST ;873.6;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;4;ST ;356.92;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;1;LE ;31835;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6001010000;0;1;LE ;1568;EUR;20070727
FRA;2007;2;C11046C   ;C019980   ;S00 ;6144007000;0;0;   ;486.73;EUR;20070727
FRA;2007;2;C11412L   ;C019981   ;421;6020107000;0;0;   ;150;EUR;20070727
FRA;2007;2;C11046I   ;C019981   ;431;6141003000;0;0;   ;48.76;EUR;20070727
FRA;2007;2;C11046P   ;C019981   ;431;6141002000;640228;0;   ;7.2;EUR;20070727
FRA;2007;2;C11314    ;C019990   ;700;6141003000;0;0;   ;153.23;EUR;20070727
FRA;2007;2;C11412L   ;C019990   ;700;6141003000;0;0;   ;32;EUR;20070727
FRA;2007;2;C11045B   ;C019990   ;700;6144007000;0;0;   ;56.47;EUR;20070727
FRA;2007;2;C11045B   ;C019990   ;702;6141003000;0;0;   ;88.33;EUR;20070727
FRA;2007;2;C11045B   ;C019990   ;702;6141003000;0;0;   ;88.33;EUR;20070727
FRA;2007;2;C11045B   ;C019990   ;702;6141003000;0;0;   ;152.32;EUR;20070727
FRA;2007;2;C11045B   ;C019990   ;702;6141003000;0;0;   ;-88.33;EUR;20070727
FRA;2007;2;C11045B   ;C019990   ;702;6141003000;0;0;   ;615.48;EUR;20070727
FRA;2007;2;C11862    ;C019991   ;700;6144007000;0;0;   ;66.61;EUR;20070727
FRA;2007;2;C11314    ;C019991   ;702;6141003000;0;0;   ;153.94;EUR;20070727
FRA;2007;2;C11314    ;C019991   ;702;6141003000;0;0;   ;795.91;EUR;20070727
FRA;2007;2;C11314    ;C019991   ;702;6141003000;0;0;   ;100.74;EUR;20070727
FRA;2007;2;C11314    ;C020200   ;611;6144007000;0;0;   ;-48.62;EUR;20070727
