BRA;2012;11;CUR6500;C060361;401;10000000;300756;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C060361;421;10000000;BRA269;0.00;;0.00;BRL;20121107
BRA;2012;11;CUR6600;C060361;521;10000000;BRA269;0.00;;0.00;BRL;20121107
JPN;2012;11;0210;C060361;401;10000000;302;0.00;;0.00;JPY;20121107
JPN;2012;11;0210;C060361;501;10000000;322;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060361;421;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060361;421;10000000;156;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060361;421;10000000;268;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060361;521;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060361;521;10000000;268;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060361;421;10000000;0276;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060361;421;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060361;521;10000000;0276;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060361;521;10000000;289;0.00;;0.00;JPY;20121107
JPN;2012;11;0223;C060361;421;10000000;007;0.00;;0.00;JPY;20121107
JPN;2012;11;0223;C060361;521;10000000;007;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;C060361;431;10000000;0086;0.00;;0.00;JPY;20121107
JPN;2012;11;0240;C060361;411;10000000;221;0.00;;0.00;JPY;20121107
JPN;2012;11;0240;C060361;511;10000000;221;0.00;;0.00;JPY;20121107
KOR;2012;11;0620;C060361;411;10000000;C0013;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C060361;421;10000000;H002;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060361;422;10000000;20011;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060361;422;10000000;F0010;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060361;522;10000000;95019;0.00;;0.00;KRW;20121107
JPN;2012;11;0210;C060362;700;10000000;302;0.00;;0.00;JPY;20121107
JPN;2012;11;0210;C060362;700;10000000;322;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060362;700;10000000;113;0.00;;0.00;JPY;20121107
JPN;2012;11;0221;C060362;700;10000000;268;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060362;700;10000000;0276;0.00;;0.00;JPY;20121107
JPN;2012;11;0222;C060362;700;10000000;259;0.00;;0.00;JPY;20121107
JPN;2012;11;0223;C060362;700;10000000;007;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;C060362;700;10000000;0086;0.00;;0.00;JPY;20121107
JPN;2012;11;0230;C060362;700;10000000;075;0.00;;0.00;JPY;20121107
JPN;2012;11;0240;C060362;700;10000000;221;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;C060362;700;10000000;084;0.00;;0.00;JPY;20121107
JPN;2012;11;0250;C060362;700;10000000;317;0.00;;0.00;JPY;20121107
KOR;2012;11;0620;C060362;700;10000000;C0013;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060362;700;10000000;F0010;0.00;;0.00;KRW;20121107
KOR;2012;11;0600;C060510;641;10000000;97003;0.00;;0.00;KRW;20121107
KOR;2012;11;0600;C060510;700;10000000;97003;0.00;;0.00;KRW;20121107
KOR;2012;11;0615;C060510;700;10000000;B0001;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060510;700;10000000;A0012;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060510;700;10000000;C0013;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060510;700;10000000;F0011;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060510;601;10000000;93001;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060510;601;10000000;K0021;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060510;700;10000000;93001;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060510;700;10000000;K0021;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C060510;621;10000000;K0004;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C060510;700;10000000;92002;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C060510;700;10000000;L0006;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C060510;522;10000000;94036;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C060510;700;10000000;94036;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C060510;700;10000000;I0006;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060510;700;10000000;93002;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060510;700;10000000;95019;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060510;700;10000000;96014;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060510;700;10000000;F0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060510;700;10000000;L0007;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060510;700;10000000;M0008;0.00;;0.00;KRW;20121107
JPN;2012;11;0231;C060660;700;10000000;205;0.00;;0.00;JPY;20121107
KOR;2012;11;0600;C060660;700;10000000;97003;0.00;;0.00;KRW;20121107
KOR;2012;11;0615;C060660;700;10000000;97012;0.00;;0.00;KRW;20121107
KOR;2012;11;0615;C060660;700;10000000;B0001;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060660;700;10000000;A0012;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060660;700;10000000;C0013;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060660;700;10000000;C0014;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060660;700;10000000;F0011;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060660;700;10000000;93001;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060660;700;10000000;K0007;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060660;700;10000000;K0021;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C060660;700;10000000;92002;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C060660;700;10000000;K0019;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C060660;700;10000000;L0006;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C060660;700;10000000;95005;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060660;700;10000000;20011;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060660;700;10000000;359;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060660;700;10000000;93002;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060660;700;10000000;95019;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060660;700;10000000;A0008;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060660;700;10000000;F0003;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060660;700;10000000;L0007;0.00;;0.00;KRW;20121107
KOR;2012;11;0600;C060662;702;10000000;97003;0.00;;0.00;KRW;20121107
KOR;2012;11;0650;C060662;702;10000000;K0007;0.00;;0.00;KRW;20121107
KOR;2012;11;0661;C060662;702;10000000;K0019;0.00;;0.00;KRW;20121107
KOR;2012;11;0663;C060662;702;10000000;95005;0.00;;0.00;KRW;20121107
KOR;2012;11;0664;C060662;702;10000000;20011;0.00;;0.00;KRW;20121107
KOR;2012;11;0615;C060710;700;10000000;B0001;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060710;700;10000000;A0012;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060710;700;10000000;C0014;0.00;;0.00;KRW;20121107
KOR;2012;11;0620;C060710;700;10000000;F0011;0.00;;0.00;KRW;20121107
